DOY,GPP
8,0.0427274
9,0.0110194
10,0.0440606
11,0.00322177
12,0.0416323
13,0.00946956
14,0.0571476
15,0.019435
16,0.0117658
17,0.0196883
18,0.0669975
19,0.0619184
20,0.059748
21,0.0703682
22,0.06992
23,0.00787213
24,0.00678172
25,0.0177207
26,0.0390729
27,0.110746
28,0.138481
29,0.241853
30,0.286332
31,0.242154
32,0.158373
35,0.331165
36,0.324855
37,0.27374
38,0.278484
45,0.109521
46,0.0899882
47,0.0782903
49,0.0618319
50,0.0387822
51,0.0255471
52,0.0114274
53,0.003803
54,0.0155422
55,0.0650734
56,0.261378
57,0.303792
58,0.288363
59,0.203649
60,0.139812
61,0.0847762
62,0.0771502
63,0.0588333
64,0.0299402
65,0.0161121
66,0.0682
67,0.0532591
68,0.019914
69,0
70,0
71,0.00365193
72,0.0111
73,0.0153446
74,0.0212203
75,0.0455971
76,0.0593875
77,0.0300858
78,0.056432
79,0.141031
80,0.257351
81,0.265417
82,0.173446
83,0.149486
84,0.181756
85,0.201465
86,0.146029
87,0.0627253
88,0.0924101
89,0.0959554
90,0.0837373
91,0.0417466
92,0.0287929
93,0.10735
94,0.377158
95,0.410681
96,0.528967
97,0.561209
98,0.562103
99,0.679517
100,0.516205
101,0.586761
102,1.14605
103,1.13323
104,1.07083
105,1.1564
106,1.55487
107,0.838688
108,1.05498
109,1.67272
110,1.44773
111,1.69434
112,2.01645
113,2.00521
114,2.20028
115,2.46145
116,3.065
117,3.26075
118,3.61035
119,3.9454
120,4.26696
121,4.07725
122,3.74685
123,3.80401
124,3.54308
125,3.78702
126,3.72653
127,3.61063
128,3.91595
129,4.71868
130,5.40051
131,5.20667
132,4.0607
133,4.17787
134,5.61247
135,4.77677
136,5.05498
137,5.69778
138,5.67143
139,5.98287
140,3.98755
141,4.59356
143,1.81952
144,2.06546
145,5.31808
146,3.66341
147,5.24411
148,7.84976
149,8.3492
150,7.76838
151,6.73537
152,7.17853
153,7.26342
154,3.67784
155,7.26724
156,8.89288
157,7.33827
158,7.29495
159,8.05045
160,7.0968
161,8.11595
162,6.29499
163,6.42533
164,7.40313
165,7.52424
166,9.88724
167,9.51333
168,10.0725
169,9.27334
170,8.74822
171,9.09618
172,9.37477
173,6.57489
174,8.31467
175,10.4977
176,10.33
177,8.30422
178,5.70709
179,3.25208
180,7.64838
181,8.68547
182,8.90763
183,8.41592
184,8.10107
185,9.37315
186,10.2824
187,7.77165
188,8.79154
189,8.87109
190,9.50666
191,9.58506
192,9.77526
193,8.65857
194,8.41123
195,8.19874
196,8.97105
197,8.77625
198,8.61832
199,8.48632
200,8.82516
201,9.67951
202,10.1003
203,9.19443
204,9.47556
205,7.30485
206,8.60478
207,8.12822
208,7.91955
209,7.86806
210,6.73662
211,9.20126
212,10.3431
213,7.97046
214,5.15214
221,2.0941
222,2.73636
223,2.48289
224,2.88961
225,3.36761
226,3.70664
227,4.29566
228,6.546
229,6.53275
230,6.68437
231,7.52259
232,6.43885
233,6.87235
234,6.16161
235,6.45236
236,6.28966
237,5.06786
238,6.41725
239,6.3441
240,3.41569
241,4.45855
242,6.21616
243,6.34715
244,5.07177
245,6.56803
246,5.40003
247,2.26048
248,4.14955
249,5.01182
250,4.81242
251,2.7901
252,2.64982
253,5.76992
254,5.91062
255,4.59962
256,5.1695
257,4.57666
259,6.22254
260,5.12309
261,4.79492
262,2.79082
263,4.40359
264,5.71503
265,4.52038
266,5.52046
267,4.47184
268,5.09908
269,3.83499
270,3.45846
271,1.68508
272,1.93132
273,1.5399
274,0.610733
275,2.04587
276,0.61475
277,1.00838
278,1.50437
279,2.29308
280,1.41235
281,2.28869
282,1.26189
283,1.65007
284,1.34958
285,2.10835
286,2.26354
287,1.89833
288,1.41404
289,1.03087
290,1.53443
291,2.36691
292,1.65408
293,1.70275
294,0.698435
295,0.879949
296,0.610084
297,1.03988
298,1.18889
299,1.34815
300,0.689257
301,0.757288
302,1.11401
303,0.30694
304,0.0775002
305,0.00156733
306,0.0121457
307,0.115256
308,0.347798
309,0.446198
310,0.179433
311,0.430582
312,0.735992
313,0.5279
314,0.848635
315,0.566036
316,0.472164
317,0.146366
318,0.132706
319,0.0916883
320,0.13247
321,0.123543
322,0.210646
323,0.432541
324,0.278347
325,0.173285
326,0.0422778
327,0.0398881
328,0.0294007
329,0.0755122
330,0.115645
331,0.288484
332,0.0466103
333,0.0513177
334,0.0600128
335,0.0877008
336,0.224326
337,0.0476216
338,0.00570729
339,0.00579742
340,0.0372618
341,0.0754733
342,0.0458857
343,0.0264136
344,0.214092
345,0.0553432
346,0.0964585
347,0.0497832
348,0.0335529
349,0.0837508
350,0.0145133
351,0.000256491
352,0.000798788
354,0.0925195
355,0.244195
356,0.281175
357,0.424482
358,0.202091
359,0.334266
360,0.0352172
361,0
362,0
363,0
364,0
365,0
