SIF,ELEVATION,BCCMASS,TA,RF,SW,VPD,Region,randomNum
3633,207,4285,29724,4331,10953,34,1,1
3735,1119,4149,29450,3899,13718,25,1,0
4051,0,6280,29757,1600,14229,51,1,0
3848,0,6565,29730,1448,12988,51,1,1
3440,52,6892,29659,3184,11009,41,1,1
3477,30,5077,29511,5279,12738,27,1,1
3354,13,4717,29362,3164,15576,32,1,1
3488,277,5567,29896,2290,13642,48,1,1
4327,0,5785,29837,3423,10081,47,1,0
4261,0,6065,29819,3801,9507,41,1,1
3820,159,5929,29628,4165,10923,29,1,1
3609,213,5437,29501,3587,11255,30,1,1
3403,184,5005,29404,3289,11664,26,1,1
3223,115,4551,28810,6744,12987,17,1,1
3433,71,4227,28571,6739,13837,15,1,0
3442,36,4184,28914,13672,13767,18,1,1
2593,1782,3776,28431,1773,13964,22,1,0
2959,1938,4292,28776,1933,14663,24,1,1
3036,1688,4744,28793,2173,14991,26,1,0
3092,2187,4877,29086,2285,15467,33,1,1
2970,2476,4976,29067,2187,15667,34,1,0
2878,1827,5178,28943,1398,16199,39,1,0
3574,226,6126,29835,2751,14252,39,1,0
3583,70,6084,29867,2764,11560,44,1,0
4158,0,5770,29844,4634,9040,40,1,0
4254,0,5893,29823,3716,11241,39,1,0
3895,13,5452,29769,4650,11849,33,1,1
3524,82,4522,29236,6257,11481,17,1,0
3295,414,3888,29006,4556,12687,17,1,0
2999,531,3537,28626,3943,13068,18,1,0
2590,1541,3495,28259,2080,15735,20,1,1
2510,2035,3965,28203,2111,16709,18,1,1
2556,2149,4546,28146,3012,15925,17,1,1
2902,2462,4903,28346,2422,14923,17,1,1
3124,3246,5357,28487,2222,14246,19,1,1
3357,2622,5489,29131,2820,13693,26,1,1
3626,2254,5827,29158,3780,14075,25,1,0
3624,2057,6149,29242,2995,14428,33,1,1
3545,1726,5994,29394,1770,14480,50,1,0
3242,2013,4897,29480,1470,15086,67,1,0
3785,277,6743,29856,2073,13674,44,1,0
4024,195,6780,29853,2665,14284,40,1,1
3973,43,6608,29849,2943,13360,40,1,1
3808,0,6559,29710,4742,13186,32,1,0
4043,0,6376,29796,5100,10473,30,1,0
3702,12,6031,29759,12443,9479,30,1,1
3561,25,5074,29607,6527,11814,26,1,1
3433,30,4476,29287,7206,12035,18,1,1
3389,500,3959,28381,2595,14597,19,1,0
2724,1691,4565,28445,2225,15884,20,1,0
3296,1913,5320,28489,3425,15230,16,1,0
3528,3420,5683,29298,3749,14435,35,1,0
3616,3355,6160,29416,3092,14600,36,1,1
3681,3485,6408,29378,4050,13767,30,1,0
