GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,TA,RF,SW,VPD,Ndepo,LAI,longitude,latitude,Region,randomNum
4051,7749,59,93,0,6280,29757,1600,14229,51,25945380,49,-79.65992169843,0.838525491562421,1,0.228340183198778
3848,7490,49,86,0,6565,29730,1448,12988,51,32916613,45,-79.65992169843,0.279508497187474,1,0.927458319402028
3440,7258,60,90,52,6892,29659,3184,11009,41,23960835,41,-79.65992169843,-2.51557647468726,1,0.200732365262043
3477,7146,63,91,30,5077,29511,5279,12738,27,25918107,39,-79.65992169843,-3.07459346906221,1,0.671621911998141
3354,7105,58,87,13,4717,29362,3164,15576,32,25948836,36,-79.65992169843,-3.63361046343716,1,0.470321243163539
3820,7338,65,91,159,5929,29628,4165,10923,29,33687265,51,-79.1009047040551,0.838525491562421,1,0.842512430869873
3609,7038,47,82,213,5437,29501,3587,11255,30,33762283,47,-79.1009047040551,0.279508497187474,1,0.0254561008192866
3403,6944,58,81,184,5005,29404,3289,11664,26,33798507,49,-79.1009047040551,-0.279508497187474,1,0.45138596002337
3223,6524,44,73,115,4551,28810,6744,12987,17,33144389,46,-79.1009047040551,-0.838525491562421,1,0.418900860874247
3433,6880,46,81,71,4227,28571,6739,13837,15,30811860,38,-79.1009047040551,-1.39754248593737,1,0.0469275360158335
3442,6959,59,86,36,4184,28914,13672,13767,18,29478000,34,-79.1009047040551,-1.95655948031232,1,0.925966785593325
2593,6015,51,66,1782,3776,28431,1773,13964,22,25418583,41,-79.1009047040551,-3.07459346906221,1,0.963229805447554
2959,6525,56,72,1938,4292,28776,1933,14663,24,24889722,47,-79.1009047040551,-3.63361046343716,1,0.236606588778347
3036,6736,59,79,1688,4744,28793,2173,14991,26,23828745,48,-79.1009047040551,-4.19262745781211,1,0.372330053980529
3092,6825,63,83,2187,4877,29086,2285,15467,33,23153653,50,-79.1009047040551,-4.75164445218705,1,0.659505214704983
2970,6598,63,81,2476,4976,29067,2187,15667,34,23039102,48,-79.1009047040551,-5.310661446562,1,0.305837585212093
2878,6490,66,84,1827,5178,28943,1398,16199,39,22826155,43,-79.1009047040551,-5.86967844093695,1,0.931434274411417
3574,7059,74,96,226,6126,29835,2751,14252,39,26391547,47,-78.5418877096801,9.22378040718663,1,0.187917254356343
3583,7344,77,100,70,6084,29867,2764,11560,44,29786009,50,-78.5418877096801,8.66476341281169,1,0.712403980646331
4158,7769,64,93,0,5770,29844,4634,9040,40,8496474,46,-78.5418877096801,2.51557647468726,1,0.103807025043424
4254,7842,71,98,0,5893,29823,3716,11241,39,28204628,48,-78.5418877096801,1.95655948031232,1,0.312318878163819
3895,7312,63,90,13,5452,29769,4650,11849,33,31726593,48,-78.5418877096801,1.39754248593737,1,0.789862600260604
3524,6992,52,82,82,4522,29236,6257,11481,17,36656959,46,-78.5418877096801,0.838525491562421,1,0.144470842567328
3295,6764,56,81,414,3888,29006,4556,12687,17,34607952,46,-78.5418877096801,0.279508497187474,1,0.31461384121706
2999,6492,60,78,531,3537,28626,3943,13068,18,33582052,50,-78.5418877096801,-0.279508497187474,1,0.766362256963158
2590,5851,59,72,1541,3495,28259,2080,15735,20,31324927,45,-78.5418877096801,-0.838525491562421,1,0.29960720828517
2510,5529,42,55,2035,3965,28203,2111,16709,18,14158338,41,-78.5418877096801,-1.39754248593737,1,0.637472091527795
2556,5655,38,59,2149,4546,28146,3012,15925,17,13447596,44,-78.5418877096801,-1.95655948031232,1,0.726788225734656
2902,6364,51,69,2462,4903,28346,2422,14923,17,24411092,47,-78.5418877096801,-2.51557647468726,1,0.710525267498264
3124,6632,57,76,3246,5357,28487,2222,14246,19,23335225,46,-78.5418877096801,-3.07459346906221,1,0.664986553727907
3357,7037,62,83,2622,5489,29131,2820,13693,26,23055337,50,-78.5418877096801,-3.63361046343716,1,0.344482836359112
3626,7428,71,95,2254,5827,29158,3780,14075,25,22498991,53,-78.5418877096801,-4.19262745781211,1,0.74739221993052
3624,7427,72,96,2057,6149,29242,2995,14428,33,22923318,51,-78.5418877096801,-4.75164445218705,1,0.778581183050445
3545,7347,70,94,1726,5994,29394,1770,14480,50,23722236,52,-78.5418877096801,-5.310661446562,1,0.677135469139143
3242,7011,64,88,2013,4897,29480,1470,15086,67,25333763,49,-78.5418877096801,-5.86967844093695,1,0.185072891266825
3785,7259,78,96,277,6743,29856,2073,13674,44,24353784,48,-77.9828707153052,9.22378040718663,1,0.305050280196332
4024,7638,86,99,195,6780,29853,2665,14284,40,43802413,50,-77.9828707153052,8.66476341281169,1,0.313980903424626
3973,7592,80,97,43,6608,29849,2943,13360,40,25149704,48,-77.9828707153052,8.10574641843674,1,0.998257652724506
3808,7535,76,95,0,6559,29710,4742,13186,32,12758701,51,-77.9828707153052,7.54672942406179,1,0.78579082826678
3702,7218,66,86,12,6031,29759,12443,9479,30,17574932,50,-77.9828707153052,2.51557647468726,1,0.70046307880299
3561,6946,61,82,25,5074,29607,6527,11814,26,37229255,49,-77.9828707153052,1.95655948031232,1,0.834182452404313
3433,6868,58,81,30,4476,29287,7206,12035,18,38348206,47,-77.9828707153052,1.39754248593737,1,0.365647959743805
3389,6945,70,90,500,3959,28381,2595,14597,19,38141805,50,-77.9828707153052,0.838525491562421,1,0.829688235020219
2724,5812,42,59,1691,4565,28445,2225,15884,20,35030787,44,-77.9828707153052,0.279508497187474,1,0.766675777874285
3296,6811,55,71,1913,5320,28489,3425,15230,16,33473824,49,-77.9828707153052,-0.279508497187474,1,0.647249421697554
3528,6966,58,76,3420,5683,29298,3749,14435,35,30415195,51,-77.9828707153052,-0.838525491562421,1,0.0309009243213553
3616,7035,60,81,3355,6160,29416,3092,14600,36,27484949,52,-77.9828707153052,-1.39754248593737,1,0.99953878008685
3681,7244,63,86,3485,6408,29378,4050,13767,30,26034257,53,-77.9828707153052,-1.95655948031232,1,0.776821850880975
3739,7386,69,93,3323,6392,29484,4648,13314,32,23193976,54,-77.9828707153052,-2.51557647468726,1,0.327458244606319
3801,7452,74,95,2704,6534,29660,3009,13857,36,22293546,54,-77.9828707153052,-3.07459346906221,1,0.042784617162162
