GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,BCdepo,TA,RF,SW,VPD,Ndepo,LAI,longitude,latitude,indRows,indCols,Region,randomNum
4051,7749,59,93,0,6280,1404,29757,1600,14229,51,25945380,49,-79.65992169843,0.838525491562421,35,180,1,0.537842841324121
3848,7490,49,86,0,6565,3174,29730,1448,12988,51,32916613,45,-79.65992169843,0.279508497187474,36,180,1,0.870912524621325
3440,7258,60,90,52,6892,3305,29659,3184,11009,41,23960835,41,-79.65992169843,-2.51557647468726,41,180,1,0.722843568666448
3477,7146,63,91,30,5077,2394,29511,5279,12738,27,25918107,39,-79.65992169843,-3.07459346906221,42,180,1,0.668085931674845
3354,7105,58,87,13,4717,2514,29362,3164,15576,32,25948836,36,-79.65992169843,-3.63361046343716,43,180,1,0.178827792303708
3820,7338,65,91,159,5929,3344,29628,4165,10923,29,33687265,51,-79.1009047040551,0.838525491562421,35,181,1,0.550495354874599
3609,7038,47,82,213,5437,4183,29501,3587,11255,30,33762283,47,-79.1009047040551,0.279508497187474,36,181,1,0.959875078687972
3403,6944,58,81,184,5005,3745,29404,3289,11664,26,33798507,49,-79.1009047040551,-0.279508497187474,37,181,1,0.596021671986299
3223,6524,44,73,115,4551,3989,28810,6744,12987,17,33144389,46,-79.1009047040551,-0.838525491562421,38,181,1,0.808570708752387
3433,6880,46,81,71,4227,4348,28571,6739,13837,15,30811860,38,-79.1009047040551,-1.39754248593737,39,181,1,0.984532354863445
3442,6959,59,86,36,4184,4348,28914,13672,13767,18,29478000,34,-79.1009047040551,-1.95655948031232,40,181,1,0.885924447669938
2593,6015,51,66,1782,3776,3094,28431,1773,13964,22,25418583,41,-79.1009047040551,-3.07459346906221,42,181,1,0.213837003113112
2959,6525,56,72,1938,4292,2306,28776,1933,14663,24,24889722,47,-79.1009047040551,-3.63361046343716,43,181,1,0.0346300613124667
3036,6736,59,79,1688,4744,2341,28793,2173,14991,26,23828745,48,-79.1009047040551,-4.19262745781211,44,181,1,0.451123791403174
3092,6825,63,83,2187,4877,3013,29086,2285,15467,33,23153653,50,-79.1009047040551,-4.75164445218705,45,181,1,0.0137945567780947
2970,6598,63,81,2476,4976,1839,29067,2187,15667,34,23039102,48,-79.1009047040551,-5.310661446562,46,181,1,0.473710749132909
2878,6490,66,84,1827,5178,1918,28943,1398,16199,39,22826155,43,-79.1009047040551,-5.86967844093695,47,181,1,0.951197090728795
3574,7059,74,96,226,6126,755,29835,2751,14252,39,26391547,47,-78.5418877096801,9.22378040718663,20,182,1,0.248952278705433
3583,7344,77,100,70,6084,1089,29867,2764,11560,44,29786009,50,-78.5418877096801,8.66476341281169,21,182,1,0.386422800554417
4158,7769,64,93,0,5770,1909,29844,4634,9040,40,8496474,46,-78.5418877096801,2.51557647468726,32,182,1,0.431433376426054
4254,7842,71,98,0,5893,2098,29823,3716,11241,39,28204628,48,-78.5418877096801,1.95655948031232,33,182,1,0.83088648474904
3895,7312,63,90,13,5452,3590,29769,4650,11849,33,31726593,48,-78.5418877096801,1.39754248593737,34,182,1,0.824646819632836
3524,6992,52,82,82,4522,3275,29236,6257,11481,17,36656959,46,-78.5418877096801,0.838525491562421,35,182,1,0.452998612301112
3295,6764,56,81,414,3888,2540,29006,4556,12687,17,34607952,46,-78.5418877096801,0.279508497187474,36,182,1,0.380560169947678
2999,6492,60,78,531,3537,3102,28626,3943,13068,18,33582052,50,-78.5418877096801,-0.279508497187474,37,182,1,0.925868542840634
2590,5851,59,72,1541,3495,3299,28259,2080,15735,20,31324927,45,-78.5418877096801,-0.838525491562421,38,182,1,0.740843627451167
2510,5529,42,55,2035,3965,2697,28203,2111,16709,18,14158338,41,-78.5418877096801,-1.39754248593737,39,182,1,0.737633073422826
2556,5655,38,59,2149,4546,2697,28146,3012,15925,17,13447596,44,-78.5418877096801,-1.95655948031232,40,182,1,0.946915999012028
2902,6364,51,69,2462,4903,2068,28346,2422,14923,17,24411092,47,-78.5418877096801,-2.51557647468726,41,182,1,0.510099705432381
3124,6632,57,76,3246,5357,2093,28487,2222,14246,19,23335225,46,-78.5418877096801,-3.07459346906221,42,182,1,0.791879184896751
3357,7037,62,83,2622,5489,2322,29131,2820,13693,26,23055337,50,-78.5418877096801,-3.63361046343716,43,182,1,0.452173502329059
3626,7428,71,95,2254,5827,1794,29158,3780,14075,25,22498991,53,-78.5418877096801,-4.19262745781211,44,182,1,0.849198707548984
3624,7427,72,96,2057,6149,2157,29242,2995,14428,33,22923318,51,-78.5418877096801,-4.75164445218705,45,182,1,0.390430829462498
3545,7347,70,94,1726,5994,3444,29394,1770,14480,50,23722236,52,-78.5418877096801,-5.310661446562,46,182,1,0.738376511506287
3242,7011,64,88,2013,4897,1562,29480,1470,15086,67,25333763,49,-78.5418877096801,-5.86967844093695,47,182,1,0.976438557351852
3785,7259,78,96,277,6743,755,29856,2073,13674,44,24353784,48,-77.9828707153052,9.22378040718663,20,183,1,0.52329905821511
4024,7638,86,99,195,6780,1089,29853,2665,14284,40,43802413,50,-77.9828707153052,8.66476341281169,21,183,1,0.429915301709775
3973,7592,80,97,43,6608,1837,29849,2943,13360,40,25149704,48,-77.9828707153052,8.10574641843674,22,183,1,0.207158082586558
3808,7535,76,95,0,6559,1831,29710,4742,13186,32,12758701,51,-77.9828707153052,7.54672942406179,23,183,1,0.323401379477045
3702,7218,66,86,12,6031,1909,29759,12443,9479,30,17574932,50,-77.9828707153052,2.51557647468726,32,183,1,0.11087021836011
3561,6946,61,82,25,5074,2098,29607,6527,11814,26,37229255,49,-77.9828707153052,1.95655948031232,33,183,1,0.375210054242112
3433,6868,58,81,30,4476,3590,29287,7206,12035,18,38348206,47,-77.9828707153052,1.39754248593737,34,183,1,0.329903979134036
3389,6945,70,90,500,3959,3275,28381,2595,14597,19,38141805,50,-77.9828707153052,0.838525491562421,35,183,1,0.342105172194619
2724,5812,42,59,1691,4565,2540,28445,2225,15884,20,35030787,44,-77.9828707153052,0.279508497187474,36,183,1,0.817118851307114
3296,6811,55,71,1913,5320,3102,28489,3425,15230,16,33473824,49,-77.9828707153052,-0.279508497187474,37,183,1,0.531685314237565
3528,6966,58,76,3420,5683,3299,29298,3749,14435,35,30415195,51,-77.9828707153052,-0.838525491562421,38,183,1,0.521122048508881
3616,7035,60,81,3355,6160,2697,29416,3092,14600,36,27484949,52,-77.9828707153052,-1.39754248593737,39,183,1,0.77430970898665
3681,7244,63,86,3485,6408,2697,29378,4050,13767,30,26034257,53,-77.9828707153052,-1.95655948031232,40,183,1,0.120262770779979
3739,7386,69,93,3323,6392,2068,29484,4648,13314,32,23193976,54,-77.9828707153052,-2.51557647468726,41,183,1,0.625450151917525
3801,7452,74,95,2704,6534,2093,29660,3009,13857,36,22293546,54,-77.9828707153052,-3.07459346906221,42,183,1,0.346648685550547
3935,7714,77,98,1870,6530,2322,29679,2713,14770,42,22138144,54,-77.9828707153052,-3.63361046343716,43,183,1,0.334619385839875
3986,7808,79,100,1321,6540,1794,29726,3144,14983,38,21834114,55,-77.9828707153052,-4.19262745781211,44,183,1,0.574616563380975
4197,8112,85,108,1348,6573,2157,29562,3207,15015,34,22808152,54,-77.9828707153052,-4.75164445218705,45,183,1,0.863937641058782
3549,7371,69,89,1415,6275,3444,29209,2974,14898,24,24063802,52,-77.9828707153052,-5.310661446562,46,183,1,0.198563072170653
2781,6425,57,79,860,5336,1562,28781,2996,14969,17,26587567,48,-77.9828707153052,-5.86967844093695,47,183,1,0.672450963697648
2497,6016,58,76,2347,4560,1327,28573,2116,15818,29,27962804,49,-77.9828707153052,-6.4286954353119,48,183,1,0.901831370980072
2476,5958,59,78,3238,4335,1679,28561,2198,16475,32,26631788,46,-77.9828707153052,-6.98771242968684,49,183,1,0.199157181618953
3893,7538,79,95,181,6780,1372,29775,3020,13165,36,19209196,51,-77.4238537209302,8.66476341281169,21,184,1,0.298284149829983
3988,7728,84,100,75,6608,1554,29684,3647,13622,30,46322468,55,-77.4238537209302,8.10574641843674,22,184,1,0.496520270263375
4118,7846,86,101,507,6559,1675,29762,3788,13231,36,45293040,57,-77.4238537209302,7.54672942406179,23,184,1,0.88990423168468
3893,7569,75,92,335,6376,2079,29760,5114,12661,30,21113676,52,-77.4238537209302,6.98771242968684,24,184,1,0.501414589868598
3718,7375,61,85,0,6148,2171,29741,7218,9334,30,19487407,44,-77.4238537209302,6.4286954353119,25,184,1,0.276995239103975
3952,7740,66,88,0,5942,1943,29764,6810,8243,30,14591295,46,-77.4238537209302,5.86967844093695,26,184,1,0.53395817866685
3860,7667,63,87,0,5788,1860,29749,6897,8509,28,15304718,46,-77.4238537209302,5.310661446562,27,184,1,0.574249553785642
3861,7747,69,87,0,5765,1801,29803,9798,8409,24,13031426,46,-77.4238537209302,4.75164445218705,28,184,1,0.412804401721059
