GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,Ndepo,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,LAI,longitude,latitude,indRows,indCols,Region,randomNum
4051,7749,59,93,0,6280,1404,29757,1600,484,14229,51,3327,4389,5337,9448,261,25945380,49,-79.65992169843,0.838525491562421,35,180,1,0.537842841324121
3848,7490,49,86,0,6565,3174,29730,1448,438,12988,51,3269,4684,5415,8538,261,32916613,45,-79.65992169843,0.279508497187474,36,180,1,0.870912524621325
3440,7258,60,90,52,6892,3305,29659,3184,381,11009,41,2950,5275,5600,9400,261,23960835,41,-79.65992169843,-2.51557647468726,41,180,1,0.722843568666448
3477,7146,63,91,30,5077,2394,29511,5279,563,12738,27,2916,5100,5533,8833,261,25918107,39,-79.65992169843,-3.07459346906221,42,180,1,0.668085931674845
3354,7105,58,87,13,4717,2514,29362,3164,457,15576,32,2875,5025,5550,9100,261,25948836,36,-79.65992169843,-3.63361046343716,43,180,1,0.178827792303708
3820,7338,65,91,159,5929,3344,29628,4165,495,10923,29,3283,4105,5172,10108,389,33687265,51,-79.1009047040551,0.838525491562421,35,181,1,0.550495354874599
3609,7038,47,82,213,5437,4183,29501,3587,484,11255,30,3100,4887,5360,9489,261,33762283,47,-79.1009047040551,0.279508497187474,36,181,1,0.959875078687972
3403,6944,58,81,184,5005,3745,29404,3289,482,11664,26,3036,4768,5364,9344,261,33798507,49,-79.1009047040551,-0.279508497187474,37,181,1,0.596021671986299
3223,6524,44,73,115,4551,3989,28810,6744,504,12987,17,2700,4880,5410,8680,261,33144389,46,-79.1009047040551,-0.838525491562421,38,181,1,0.808570708752387
3433,6880,46,81,71,4227,4348,28571,6739,508,13837,15,2900,5200,5900,8900,264,30811860,38,-79.1009047040551,-1.39754248593737,39,181,1,0.984532354863445
3442,6959,59,86,36,4184,4348,28914,13672,530,13767,18,2866,5066,5933,8733,264,29478000,34,-79.1009047040551,-1.95655948031232,40,181,1,0.885924447669938
2593,6015,51,66,1782,3776,3094,28431,1773,455,13964,22,2500,5000,5500,8600,261,25418583,41,-79.1009047040551,-3.07459346906221,42,181,1,0.213837003113112
2959,6525,56,72,1938,4292,2306,28776,1933,464,14663,24,2796,5117,5406,8965,261,24889722,47,-79.1009047040551,-3.63361046343716,43,181,1,0.0346300613124667
3036,6736,59,79,1688,4744,2341,28793,2173,476,14991,26,2863,4694,5380,8989,158,23828745,48,-79.1009047040551,-4.19262745781211,44,181,1,0.451123791403174
3092,6825,63,83,2187,4877,3013,29086,2285,552,15467,33,3029,4932,5388,8760,158,23153653,50,-79.1009047040551,-4.75164445218705,45,181,1,0.0137945567780947
2970,6598,63,81,2476,4976,1839,29067,2187,538,15667,34,2970,5350,5450,8410,264,23039102,48,-79.1009047040551,-5.310661446562,46,181,1,0.473710749132909
2878,6490,66,84,1827,5178,1918,28943,1398,411,16199,39,2900,5640,5500,8260,264,22826155,43,-79.1009047040551,-5.86967844093695,47,181,1,0.951197090728795
3574,7059,74,96,226,6126,755,29835,2751,514,14252,39,3810,3857,5289,11523,402,26391547,47,-78.5418877096801,9.22378040718663,20,182,1,0.248952278705433
3583,7344,77,100,70,6084,1089,29867,2764,459,11560,44,3200,4650,5250,11900,375,29786009,50,-78.5418877096801,8.66476341281169,21,182,1,0.386422800554417
4158,7769,64,93,0,5770,1909,29844,4634,574,9040,40,3291,4020,4987,8820,389,8496474,46,-78.5418877096801,2.51557647468726,32,182,1,0.431433376426054
4254,7842,71,98,0,5893,2098,29823,3716,528,11241,39,3352,4061,5033,8961,389,28204628,48,-78.5418877096801,1.95655948031232,33,182,1,0.83088648474904
3895,7312,63,90,13,5452,3590,29769,4650,518,11849,33,3487,4545,5192,9885,261,31726593,48,-78.5418877096801,1.39754248593737,34,182,1,0.824646819632836
3524,6992,52,82,82,4522,3275,29236,6257,505,11481,17,3236,4838,5345,9472,261,36656959,46,-78.5418877096801,0.838525491562421,35,182,1,0.452998612301112
3295,6764,56,81,414,3888,2540,29006,4556,499,12687,17,2938,5083,5347,8711,264,34607952,46,-78.5418877096801,0.279508497187474,36,182,1,0.380560169947678
2999,6492,60,78,531,3537,3102,28626,3943,520,13068,18,2829,4855,5444,8777,264,33582052,50,-78.5418877096801,-0.279508497187474,37,182,1,0.925868542840634
2590,5851,59,72,1541,3495,3299,28259,2080,505,15735,20,2233,5033,5533,7400,264,31324927,45,-78.5418877096801,-0.838525491562421,38,182,1,0.740843627451167
2510,5529,42,55,2035,3965,2697,28203,2111,456,16709,18,2444,5622,5577,7527,261,14158338,41,-78.5418877096801,-1.39754248593737,39,182,1,0.737633073422826
2556,5655,38,59,2149,4546,2697,28146,3012,525,15925,17,2474,5329,5688,7470,261,13447596,44,-78.5418877096801,-1.95655948031232,40,182,1,0.946915999012028
2902,6364,51,69,2462,4903,2068,28346,2422,529,14923,17,2689,5335,5524,8078,261,24411092,47,-78.5418877096801,-2.51557647468726,41,182,1,0.510099705432381
3124,6632,57,76,3246,5357,2093,28487,2222,495,14246,19,2980,5009,5498,9083,264,23335225,46,-78.5418877096801,-3.07459346906221,42,182,1,0.791879184896751
