GPP_cedar,GPP_fluxsat,GPP_zhang,GPP_MOD17A3HGF,GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,SIFOCO2,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,Ndepo,LAI,BIOMASS,longitude,latitude,indRows,indCols,Region,randomNum
6.93,8.01,6.19178082191781,9.26027397260274,0.4051,0.7749,0.295,0.372,0.345,0,6280,1404,29757,1600,484,14229,51,3327,4389,5337,9448,261,25945380,49,17600,-79.65992169843,0.838525491562421,35,180,1,0.249124686312797
6.32,7.5,5.61643835616438,9.04109589041096,0.3848,0.749,0.245,0.344,0.351,0,6565,3174,29730,1448,438,12988,51,3269,4684,5415,8538,261,32916613,45,16734,-79.65992169843,0.279508497187474,36,180,1,0.865741064645646
6.33,5.24,7.45205479452055,8,0.344,0.7258,0.3,0.36,0.295,52,6892,3305,29659,3184,381,11009,41,2950,5275,5600,9400,261,23960835,41,16025,-79.65992169843,-2.51557647468726,41,180,1,0.682186066810687
6.58,5.52,7.56164383561644,8,0.3477,0.7146,0.315,0.364,0.336,30,5077,2394,29511,5279,563,12738,27,2916,5100,5533,8833,261,25918107,39,16216,-79.65992169843,-3.07459346906221,42,180,1,0.97739298040856
6.51,6.04,7.3972602739726,7.04109589041096,0.3354,0.7105,0.29,0.348,0.334,13,4717,2514,29362,3164,457,15576,32,2875,5025,5550,9100,261,25948836,36,14650,-79.65992169843,-3.63361046343716,43,180,1,0.185523905543996
7.47,9.1,6.27397260273973,8.93150684931507,0.382,0.7338,0.325,0.364,0.351,159,5929,3344,29628,4165,495,10923,29,3283,4105,5172,10108,389,33687265,51,20461,-79.1009047040551,0.838525491562421,35,181,1,0.216182760513138
6.62,9.19,5.83561643835616,8.41095890410959,0.3609,0.7038,0.235,0.328,0.276,213,5437,4183,29501,3587,484,11255,30,3100,4887,5360,9489,261,33762283,47,18709,-79.1009047040551,0.279508497187474,36,181,1,0.312921858193491
6.88,8.26,6.08219178082192,8.19178082191781,0.3403,0.6944,0.29,0.324,0.299,184,5005,3745,29404,3289,482,11664,26,3036,4768,5364,9344,261,33798507,49,19716,-79.1009047040551,-0.279508497187474,37,181,1,0.75201203772573
6.08,7.19,6.02739726027397,7.31506849315068,0.3223,0.6524,0.22,0.292,0.229,115,4551,3989,28810,6744,504,12987,17,2700,4880,5410,8680,261,33144389,46,20090,-79.1009047040551,-0.838525491562421,38,181,1,0.367736606860203
6.25,5.84,6.32876712328767,8.02739726027397,0.3433,0.688,0.23,0.324,0.197,71,4227,4348,28571,6739,508,13837,15,2900,5200,5900,8900,264,30811860,38,14650,-79.1009047040551,-1.39754248593737,39,181,1,0.604456003539142
6.53,5.77,6.9041095890411,6.79452054794521,0.3442,0.6959,0.295,0.344,0.284,36,4184,4348,28914,13672,530,13767,18,2866,5066,5933,8733,264,29478000,34,10000,-79.1009047040551,-1.95655948031232,40,181,1,0.383434891407544
6.72,4.72,5.61643835616438,7.53424657534247,0.2593,0.6015,0.255,0.264,0.223,1782,3776,3094,28431,1773,455,13964,22,2500,5000,5500,8600,261,25418583,41,25900,-79.1009047040551,-3.07459346906221,42,181,1,0.550487829259962
7.03,6.22,6.27397260273973,8,0.2959,0.6525,0.28,0.288,0.254,1938,4292,2306,28776,1933,464,14663,24,2796,5117,5406,8965,261,24889722,47,24841,-79.1009047040551,-3.63361046343716,43,181,1,0.385442421714884
7.32,6.87,6.98630136986301,8.02739726027397,0.3036,0.6736,0.295,0.316,0.272,1688,4744,2341,28793,2173,476,14991,26,2863,4694,5380,8989,158,23828745,48,26575,-79.1009047040551,-4.19262745781211,44,181,1,0.665435033273495
7.48,7.26,7.28767123287671,8.21917808219178,0.3092,0.6825,0.315,0.332,0.292,2187,4877,3013,29086,2285,552,15467,33,3029,4932,5388,8760,158,23153653,50,26308,-79.1009047040551,-4.75164445218705,45,181,1,0.014714163546339
7.38,6.24,7.12328767123288,8.27397260273973,0.297,0.6598,0.315,0.324,0.3,2476,4976,1839,29067,2187,538,15667,34,2970,5350,5450,8410,264,23039102,48,24115,-79.1009047040551,-5.310661446562,46,181,1,0.813124468759885
7.54,5.55,7.0958904109589,7.50684931506849,0.2878,0.649,0.33,0.336,0.322,1827,5178,1918,28943,1398,411,16199,39,2900,5640,5500,8260,264,22826155,43,19180,-79.1009047040551,-5.86967844093695,47,181,1,0.349855974829203
7.87,7.31,7.17808219178082,6.87671232876712,0.3574,0.7059,0.37,0.384,0.337,226,6126,755,29835,2751,514,14252,39,3810,3857,5289,11523,402,26391547,47,25921,-78.5418877096801,9.22378040718663,20,182,1,0.715515525264852
