YY,MM,DD,system_index,QC_500m,Range,SensorAzimuth,SensorZenith,SolarAzimuth,SolarZenith,date1,date_end,date_start,ecoregion,flux_data,flux_sitenames,gflags,granule_pnt,iobs_res,koeppen_geiger,landcover_igbp,num_observations_1km,num_observations_500m,obscov_500m,orbit_pnt,primary_veg_type,q_scan,secondary_veg_type,site_num,sitename,state_1km,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,wwf_biome,x_geo,Var38,Var39,,
2000,2,24,2000_02_24_0000000000000000014e,1073741824,53605,-6849,6294,-17986,5393,11011,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,6,2,5,1,DB,15,EN,64,acadia,40976,1624,2709,1400,1608,1878,1082,522,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,2,25,2000_02_25_0000000000000000014e,1075838976,28448,-8737,335,16362,5494,11012,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,2,1,43,1,DB,15,EN,64,acadia,1809,1850,2398,1743,1865,1729,1334,761,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,2,26,2000_02_26_0000000000000000014e,1073741824,45874,-7075,5564,17653,5325,11013,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,6,2,12,1,DB,15,EN,64,acadia,1041,4963,5369,4754,4945,5046,4752,4039,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,2,27,2000_02_27_0000000000000000014e,1073741824,29652,9911,1760,15993,5488,11014,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,1,1,24,1,DB,15,EN,64,acadia,1297,7018,7145,6850,6997,6794,6246,2007,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,2,28,2000_02_28_0000000000000000014e,1073741824,38813,-7236,4580,17286,5269,11015,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,3,1,24,1,DB,11,EN,64,acadia,1041,3346,3648,3572,3434,3603,3272,2437,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,2,29,2000_02_29_0000000000000000014e,1073741824,33995,9803,3537,15623,5495,11016,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,2,1,19,1,DB,15,EN,64,acadia,1041,7923,7978,7657,7814,7217,5319,3158,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,1,2000_03_01_0000000000000000014e,1073741824,32911,-7516,3209,16909,5226,11017,2019-01-13,2007-03-15,8,false,,0,2,2,Dfb,5,3,1,33,1,DB,15,EN,64,acadia,1041,1998,2676,2022,2051,2879,2487,1599,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,2,2000_03_02_0000000000000000014e,1073741824,40539,9566,4868,15253,5514,11018,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,2,1,12,0,DB,15,EN,64,acadia,1041,8640,8421,8377,8569,7159,5280,3972,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,3,2000_03_03_0000000000000000014e,1073741824,29192,-7811,1398,16530,5198,11019,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,3,1,30,1,DB,15,EN,64,acadia,1041,6140,5946,6326,6252,3853,1083,1643,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,4,2000_03_04_0000000000000000014e,1073741824,48383,9307,5833,14887,5546,11020,2019-01-13,2007-03-15,8,false,,0,0,2,Dfb,5,5,2,12,0,DB,13,EN,64,acadia,1033,5913,6354,5449,5867,6194,5541,3966,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,5,2000_03_05_0000000000000000014e,1107296259,28608,10591,711,16147,5183,11021,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,3,1,48,1,DB,15,EN,64,acadia,1041,4345,4918,4084,4265,5060,NaN,1716,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,6,2000_03_06_0000000000000000014e,1073741824,42340,-7231,5125,17506,4986,11022,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,6,2,20,1,DB,5,EN,64,acadia,1041,6194,6392,6122,6203,6115,3839,925,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,8,2000_03_08_0000000000000000014e,1610612739,35691,-7385,3957,17115,4934,11024,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,1,1,19,1,DB,15,EN,64,acadia,1040,1089,2161,928,1043,2474,1773,NaN,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,9,2000_03_09_0000000000000000014e,1073741824,37000,9651,4245,15376,5193,11025,2019-01-13,2007-03-15,8,false,,0,0,0,Dfb,5,3,1,20,0,DB,3,EN,64,acadia,1041,7304,7483,6963,7227,6995,5351,3170,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,10,2000_03_10_0000000000000000014e,1073741824,30712,-7546,2357,16719,4896,11026,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,4,1,43,1,DB,15,EN,64,acadia,72,630,1834,341,514,2337,1865,1037,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,11,2000_03_11_0000000000000000014e,1073741824,44276,9515,5382,14993,5219,11027,2019-01-13,2007-03-15,8,false,,0,0,0,Dfb,5,6,2,18,0,DB,12,EN,64,acadia,1041,5565,5899,5268,5523,5830,4900,1528,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,12,2000_03_12_0000000000000000014e,1073741824,28454,-7657,348,16318,4872,11028,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,2,1,30,1,DB,15,EN,64,acadia,1041,8755,8541,8577,8761,5911,1950,947,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,13,2000_03_13_0000000000000000014e,1073741824,45969,-7050,5575,17751,4703,11029,2019-01-13,2007-03-15,8,false,,0,2,2,Dfb,5,7,2,12,1,DB,12,EN,64,acadia,1041,3369,3892,3424,3466,3714,2409,1483,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,14,2000_03_14_0000000000000000014e,1075838976,29646,10150,1761,15915,4863,11030,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,2,1,53,1,DB,15,EN,64,acadia,1297,2962,3814,2694,2883,3835,3478,1023,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,17,2000_03_17_0000000000000000014e,1073741824,32952,-7548,3228,16940,4593,11033,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,2,1,34,1,DB,15,EN,64,acadia,1041,7062,7036,7100,7127,5582,2748,1443,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,18,2000_03_18_0000000000000000014e,1073741824,40376,9594,4847,15120,4887,11034,2019-01-13,2007-03-15,8,false,,0,1,1,Dfb,5,2,1,9,0,DB,15,EN,64,acadia,40969,1980,3145,1770,2040,2189,882,1676,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,19,2000_03_19_0000000000000000014e,1075838976,29213,-7914,1435,16528,4560,11035,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,2,1,42,1,DB,15,EN,64,acadia,36872,4501,5208,3840,4335,2242,1065,706,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,20,2000_03_20_0000000000000000014e,1073741824,50060,-6983,5992,-17955,4424,11036,2019-01-13,2007-03-15,8,false,,0,2,2,Dfb,5,6,2,10,1,DB,9,EN,64,acadia,1809,3156,3598,3213,3272,2857,2153,1988,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,21,2000_03_21_0000000000000000014e,1073741824,28549,10244,654,16111,4543,11037,2019-01-13,2007-03-15,8,false,,0,1,2,Dfb,5,3,1,49,1,DB,15,EN,64,acadia,36880,2928,3801,2616,2979,1837,932,492,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,22,2000_03_22_0000000000000000014e,1073741824,42516,-7190,5154,17628,4350,11038,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,7,2,10,1,DB,15,EN,64,acadia,32784,837,2121,629,859,1733,1031,543,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,23,2000_03_23_0000000000000000014e,1073741824,31273,9893,2631,15691,4541,11039,2019-01-13,2007-03-15,8,false,,0,1,2,Dfb,5,3,1,46,1,DB,15,EN,64,acadia,1040,1154,2526,779,1081,2349,1725,1021,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,25,2000_03_25_0000000000000000014e,1073741824,36711,9713,4196,15270,4554,11041,2019-01-13,2007-03-15,8,false,,0,0,1,Dfb,5,2,1,24,0,DB,15,EN,64,acadia,1810,1042,2485,809,1038,2605,1897,1152,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,26,2000_03_26_0000000000000000014e,1073741824,30879,-7645,2458,16769,4251,11042,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,1,1,24,1,DB,15,EN,64,acadia,1041,6742,7100,6395,6712,6694,6304,4720,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,27,2000_03_27_0000000000000000014e,1073741824,43859,9492,5338,14855,4582,11043,2019-01-13,2007-03-15,8,false,,0,1,1,Dfb,5,5,2,12,0,DB,15,EN,64,acadia,80,681,2479,338,647,2822,2236,599,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,28,2000_03_28_0000000000000000014e,1075576832,28447,-8338,477,16328,4227,11044,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,2,1,55,1,DB,15,EN,64,acadia,1041,9519,9191,9318,9536,6002,2314,1354,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,29,2000_03_29_0000000000000000014e,1075576832,46370,-7016,5627,17935,4071,11045,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,4,2,15,1,DB,12,EN,64,acadia,1041,5664,6127,5469,5674,6340,5906,4876,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,3,30,2000_03_30_0000000000000000014e,1073741824,29412,10081,1633,15883,4219,11046,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,3,1,43,1,DB,15,EN,64,acadia,1040,906,1781,689,783,2344,2014,1229,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
